Name,Security Type,Symbol,Issue Period,Issue Size No. of Shares,Price Band,Face Value,Market Lot
Vibhor Steel Tubes Limited,Equity,VSTL,13 Feb 2024 to 15 Feb 2024,"35,92,445",141.00-151.00,10,99
Entero Healthcare Solutions Limited,Equity,ENTERO,09 Feb 2024 to 13 Feb 2024,"71,50,100",1195.00-1258.00,10,11
Capital Small Finance Bank Limited,Equity,CAPITALSFB,07 Feb 2024 to 09 Feb 2024,"81,47,373",445.00-468.00,10,32
Jana Small Finance Bank Limited,Equity,JSFB,07 Feb 2024 to 09 Feb 2024,"1,01,16,284",393.00-414.00,10,36
Rashi Peripherals Limited,Equity,RPTECH,07 Feb 2024 to 09 Feb 2024,"1,42,37,289",295.00-311.00,5,48
Apeejay Surrendra Park Hotels Limited,Equity,PARKHOTELS,05 Feb 2024 to 07 Feb 2024,"3,47,61,903",147.00-155.00,1,96
Bls E Services Limited,Equity,BLSE,30 Jan 2024 to 01 Feb 2024,"1,37,02,904",129.00-135.00,10,108
Harshdeep Hortico Limited,Equity,HARSHDEEP,29 Jan 2024 to 31 Jan 2024,"30,36,000",42.00-45.00,10,3000
Nova  Agritech Limited,Equity,NOVAAGRI,23 Jan 2024 to 25 Jan 2024,"2,54,14,746",39.00-41.00,2,365
Epack Durable Limited,Equity,EPACK,19 Jan 2024 to 24 Jan 2024,"1,99,77,615",218.00-230.00,10,65
Euphoria Infotech (India) Ltd,Equity,EUPHORIA,19 Jan 2024 to 24 Jan 2024,"9,60,000",96.00-100.00,10,1200
Medi Assist Healthcare Services Limited,Equity,MEDIASSIST,15 Jan 2024 to 17 Jan 2024,"1,96,19,719",397.00-418.00,5,35
New Swan Multitech Limited,Equity,SWANAGRO,11 Jan 2024 to 15 Jan 2024,"35,88,000",62.00-66.00,10,2000
Jyoti Cnc Automation Ltd,Equity,JYOTICNC,09 Jan 2024 to 11 Jan 2024,"1,75,39,681",315.00-331.00,2,45
Shri Balaji Valve Components Limited,Equity,SBVCL,27 Dec 2023 to 29 Dec 2023,"15,46,800",95.00-100.00,10,1200
Innova Captab Limited,Equity,INNOVACAP,21 Dec 2023 to 26 Dec 2023,"1,30,92,094",426.00-448.00,10,33
Azad Engineering Ltd,Equity,AZAD,20 Dec 2023 to 22 Dec 2023,"1,01,22,705",499.00-524.00,2,28
Credo Brands Marketing Limited,Equity,MUFTI,19 Dec 2023 to 21 Dec 2023,"1,37,44,472",266.00-280.00,2,53
Happy Forgings Limited,Equity,HAPPYFORGE,19 Dec 2023 to 21 Dec 2023,"83,65,639",808.00-850.00,2,17
Rbz Jewellers Limited,Equity,RBZJEWEL,19 Dec 2023 to 21 Dec 2023,"79,00,000",95.00-100.00,10,150
Shanti Spintex Limited,Equity,SHANTIDENM,19 Dec 2023 to 21 Dec 2023,"31,92,000",66.00-70.00,10,2000
Motisons Jewellers Limited,Equity,MOTISONS,18 Dec 2023 to 20 Dec 2023,"2,08,71,000",52.00-55.00,10,250
Muthoot Microfin Limited,Equity,MML,18 Dec 2023 to 20 Dec 2023,"2,43,87,447",277.00-291.00,10,51
Suraj Estate Developers Limited,Equity,SURAJEST,18 Dec 2023 to 20 Dec 2023,"82,35,293",340.00-360.00,5,41
Inox India Limited,Equity,INOXINDIA,14 Dec 2023 to 18 Dec 2023,"1,54,77,670",627.00-660.00,2,22
Siyaram Recycling Industries Limited,Equity,SIYARAM,14 Dec 2023 to 18 Dec 2023,"35,70,000",43.00-46.00,10,3000
Doms Industries Limited,Equity,DOMS,13 Dec 2023 to 15 Dec 2023,"88,37,407",750.00-790.00,10,18
India Shelter Finance Corporation Limited,Equity,INDIASHLTR,13 Dec 2023 to 15 Dec 2023,"1,79,10,449",469.00-493.00,5,30
Amic Forging Limited,Equity,AMIC,29 Nov 2023 to 01 Dec 2023,"19,76,000",121.00-126.00,10,1000
Deepak Chemtex Limited,Equity,DEEPAKCHEM,29 Nov 2023 to 01 Dec 2023,"20,62,400",76.00-80.00,10,1600
Swashthik Plascon Limited,Equity,SPL,24 Nov 2023 to 29 Nov 2023,"47,39,200",80.00-86.00,10,1600
Fedbank Financial Services Limited,Equity,FEDFINA,22 Nov 2023 to 24 Nov 2023,"5,59,23,660",133.00-140.00,10,107
Flair Writing Industries Limited,Equity,FLAIR,22 Nov 2023 to 24 Nov 2023,"1,44,13,188",288.00-304.00,5,49
Gandhar Oil Refinery (India) Limited,Equity,GANDHAR,22 Nov 2023 to 24 Nov 2023,"2,12,43,940",160.00-169.00,2,88
Tata Technologies Limited,Equity,TATATECH,22 Nov 2023 to 24 Nov 2023,"4,50,29,207",475.00-500.00,2,30
Indian Renewable Energy Development Agency Limited,Equity,IREDA,21 Nov 2023 to 23 Nov 2023,"46,90,46,031",30.00-32.00,10,460
Kalyani Cast Tech Limited,Equity,KALYANI,08 Nov 2023 to 10 Nov 2023,"16,26,000",137.00-139.00,10,1000
Ask Automotive Ltd,Equity,ASKAUTO,07 Nov 2023 to 09 Nov 2023,"2,06,99,974",268.00-282.00,2,53
Protean Egov Technologies Limited,Equity,PROTEAN,06 Nov 2023 to 08 Nov 2023,"43,78,700",752.00-792.00,10,18
Esaf Small Finance Bank Limited,Equity,ESAFSFB,03 Nov 2023 to 07 Nov 2023,"5,53,24,562",57.00-60.00,10,250
