,Name,Security Type,Symbol,Issue Period,Issue Size (No. of Shares),Face Value,Market Lot
0,Rudra Gas Enterprise Limited,Equity,RUDRA,08 Feb 2024 to 12 Feb 2024,2248000,10.00,2000
1,Gabriel Pet Straps Limited,Equity,GPSL,31 Jan 2024 to 02 Feb 2024,798000,10.00,1200
2,Mayank Cattle Food Limited,Equity,MCFL,29 Jan 2024 to 31 Jan 2024,1800000,10.00,1200
3,Brisk Technovision Limited,Equity,BRISK,23 Jan 2024 to 25 Jan 2024,800000,10.00,800
4,Qualitek Labs Limited,Equity,QLL,18 Jan 2024 to 23 Jan 2024,1964400,10.00,1200
5,Shree Marutinandan Tubes Limited,Equity,SHREE,12 Jan 2024 to 16 Jan 2024,1000000,10.00,1000
6,Manoj Ceramic Ltd,Equity,MCL,27 Dec 2023 to 29 Dec 2023,2334000,10.00,2000
7,Aik Pipes And Polymers Limited,Equity,AIK,26 Dec 2023 to 28 Dec 2023,1688000,10.00,1600
8,Sahara Maritime Limited,Equity,SMARITIME,18 Dec 2023 to 20 Dec 2023,849600,10.00,1600
9,Benchmark Computer Solutions Limited,Equity,BENCHMARK,14 Dec 2023 to 18 Dec 2023,1854000,10.00,2000
10,Arrowhead Seperation Engineering Limited,Equity,ARROWHEAD,16 Nov 2023 to 20 Nov 2023,558000,10.00,600
11,Mish Designs Limited,Equity,MISHDESIGN,31 Oct 2023 to 02 Nov 2023,800000,10.00,1000
12,Vrundavan Plantation Ltd,Equity,VPL,30 Oct 2023 to 01 Nov 2023,1416000,10.00,1200
13,Kk Shah Hospitals Ltd,Equity,KKSHL,27 Oct 2023 to 31 Oct 2023,1950000,10.00,3000
14,Vivaa Tradecom Limitd,Equity,VIVAA,27 Sep 2023 to 04 Oct 2023,1566000,10.00,2000
15,Sunita Tools Limited,Equity,SUNITATOOL,26 Sep 2023 to 03 Oct 2023,1520000,10.00,1000
16,City Crops Agro Limited,Equity,CCAL,26 Sep 2023 to 29 Sep 2023,6000000,10.00,6000
17,Organic Recycling Systems Limited,Equity,ORGANICREC,21 Sep 2023 to 26 Sep 2023,2500200,10.00,600
18,Techknowgreen Solutions Limited,Equity,TECHKGREEN,18 Sep 2023 to 21 Sep 2023,1944000,10.00,1600
19,Meson Valves India Limited,Equity,MESON,08 Sep 2023 to 12 Sep 2023,3048000,10.00,1200
20,Kahan Packaging Limited,Equity,KAHAN,06 Sep 2023 to 08 Sep 2023,720000,10.00,1600
21,Bondada Engineering Limited,Equity,BONDADA,18 Aug 2023 to 22 Aug 2023,5696000,10.00,1600
22,Shoora Designs Limited,Equity,SDL,17 Aug 2023 to 21 Aug 2023,423000,10.00,3000
23,Shelter Pharma Ltd,Equity,SHELTER,10 Aug 2023 to 14 Aug 2023,3816000,10.00,3000
24,Khazanchi Jewellers Limited,Equity,KHAZANCHI,24 Jul 2023 to 28 Jul 2023,6910000,10.00,1000
25,Innovatus Entertainment Networks Limited,Equity,INNOVATUS,25 Jul 2023 to 27 Jul 2023,1548000,10.00,3000
26,Ahasolar Technologies Limited,Equity,ATL,10 Jul 2023 to 13 Jul 2023,818400,10.00,800
27,Acceleratebs India Limited,Equity,ACCELERATE,06 Jul 2023 to 11 Jul 2023,632000,10.00,1600
28,Alphalogic Industries Limited,Equity,ALPHAIND,03 Jul 2023 to 06 Jul 2023,1341600,10.00,1200
29,Veefin Solutions Limited,Equity,VEEFIN,22 Jun 2023 to 26 Jun 2023,5699200,10.00,1600
30,Bizotic Commercial Limited,Equity,BIZOTIC,12 Jun 2023 to 15 Jun 2023,2412000,10.00,800
31,Sonalis Consumer Products Limited,Equity,SONALIS,07 Jun 2023 to 09 Jun 2023,944000,10.00,4000
32,Cff Fluid Control Limited,Equity,CFF,30 May 2023 to 02 Jun 2023,5200000,10.00,800
33,Retina Paints Limited,Equity,RETINA,19 Apr 2023 to 24 Apr 2023,3700000,10.00,4000
34,Sancode Technologies Limited,Equity,SANCODE,31 Mar 2023 to 06 Apr 2023,1095000,10.00,3000
35,Command Polymers Ltd,Equity,COMMAND,17 Mar 2023 to 21 Mar 2023,2532000,10.00,4000
36,Dev Labtech Venture Limited,Equity,DLVL,17 Mar 2023 to 21 Mar 2023,2200000,10.00,2000
37,Bright Outdoor Media Limited,Equity,BRIGHT,14 Mar 2023 to 17 Mar 2023,3800000,10.00,1000
38,Labelkraft Technologies Limited,Equity,LABELKRAFT,13 Mar 2023 to 15 Mar 2023,864000,10.00,2000
39,Prospect Commodities Limited,Equity,PROSPECT,08 Mar 2023 to 13 Mar 2023,1226000,10.00,2000
40,Itcons E Solutions Ltd,Equity,ITCONS,28 Feb 2023 to 02 Mar 2023,1700000,10.00,2000
41,Amanaya Ventures Ltd,Equity,AMANAYA,24 Feb 2023 to 28 Feb 2023,1200000,10.00,6000
