Security Type,Symbol,Issue Open,Issue Close,Issue Size No. of Shares,Price Band,Face Value,Market Lot,BSE Code,ISIN,,,,ISIN,BSE Code,ISIN,Scrip Code
Equity,EUPHORIA,19 Jan 2024 , 24 Jan 2024,"9,60,000",96.00-100.00,10,1200,#N/A,#N/A,,,,INE925R01014,543441,INE925R01014,CMSINFO
Equity,MML,18 Dec 2023 , 20 Dec 2023,"2,43,87,447",277.00-291.00,10,51,#N/A,#N/A,,,,INE463V01026,543415,INE463V01026,ANANDRATHI
Equity,ASKAUTO,07 Nov 2023 , 09 Nov 2023,"2,06,99,974",268.00-282.00,2,53,#N/A,#N/A,,,,INE02NC01014,543386,INE02NC01014,FINOPB
Equity,PWL,29 Sep 2023 , 05 Oct 2023,"1,32,00,158",51.00-54.00,10,277,#N/A,#N/A,,,,INE045601015,543367,INE045601015,PARAS
Equity,PKH,30 Jun 2023 , 04 Jul 2023,"2,56,32,000",140.00-148.00,5,100,#N/A,#N/A,,,,INE488A01050,543336,INE488A01050,CHEMPLASTS
Equity,HMA,20 Jun 2023 , 23 Jun 2023,"60,54,054",555.00-585.00,10,25,#N/A,#N/A,,,,INE645S01016,543325,INE645S01016,ROLEXRINGS
Equity,ADANIENTPP,27 Jan 2023 , 31 Jan 2023,"4,55,06,791",1556.00-1638.00,1,4,#N/A,#N/A,,,,INE810G01011,543299,INE810G01011,SHYAMMETL
Equity,ARCHEAN,09 Nov 2022 , 11 Nov 2022,"1,99,57,325",386.00-407.00,2,36,#N/A,#N/A,,,,INE303R01014,543278,INE303R01014,KALYANKJIL
Equity,DCX,31 Oct 2022 , 02 Nov 2022,"1,45,11,146",197.00-207.00,2,72,#N/A,#N/A,,,,INE864I01014,543270,INE864I01014,MTARTECH
Equity,CCSL,27 Sep 2022 , 29 Sep 2022,"10,84,000",53.00-55.00,10,2000,#N/A,#N/A,,,,INE07T201019,543248,INE07T201019,RBA
Equity,HARIOM,30 Mar 2022 , 05 Apr 2022,"85,00,000",144.00-153.00,10,98,#N/A,#N/A,,,,INE063P01018,543243,INE063P01018,EQUITASBNK
Equity,RUCHISOYA,24 Mar 2022 , 30 Mar 2022,"6,99,08,699",615.00-650.00,2,21,#N/A,#N/A,,,,INE732I01013,543235,INE732I01013,ANGELONE
Equity,ARWL,02 Dec 2021 , 06 Dec 2021,"84,75,000",530.00-550.00,5,27,#N/A,#N/A,,,,INE018E01016,543066,INE018E01016,SBICARD
Equity,FINO,29 Oct 2021 , 02 Nov 2021,"1,14,64,664",560.00-577.00,10,25,#N/A,#N/A,,,,INE335Y01020,542830,INE335Y01020,IRCTC
OFS,PDSTL,21 Sep 2021 , 23 Sep 2021,"71,40,793",165.00-175.00,10,85,#N/A,#N/A,,,,INE00M201021,542760,INE00M201021,SWSOLAR
Equity,NBL,01 Sep 2021 , 06 Sep 2021,"5,39,200",71.00-74.00,10,1600,#N/A,#N/A,,,,INE255X01014,542597,INE255X01014,MSTCLTD
Equity,ROLEX,28 Jul 2021 , 30 Jul 2021,"56,85,556",880.00-900.00,10,16,#N/A,#N/A,,,,INE542W01017,542323,INE542W01017,KPIGREEN
Equity,SHYMMETAL,14 Jun 2021 , 16 Jun 2021,"2,10,90,890",303.00-306.00,10,45,#N/A,#N/A,,,,INE00VM01010,541974,INE00VM01010,MANORAMA
Equity,KALYAN,16 Mar 2021 , 18 Mar 2021,"9,57,09,301",86.00-87.00,10,172,#N/A,#N/A,,,,INE00QT01015,541929,INE00QT01015,SGIL
Equity,MTAR,03 Mar 2021 , 05 Mar 2021,"72,60,694",574.00-575.00,10,26,#N/A,#N/A,,,,INE01B501018,541865,INE01B501018,ASRL
Equity,ANTONY,21 Dec 2020 , 23 Dec 2020,"66,66,342",313.00-315.00,5,47,#N/A,#N/A,,,,INE00IY01012,541778,INE00IY01012,DEEP
Equity,BURGERKING,02 Dec 2020 , 04 Dec 2020,"7,44,91,524",59.00-60.00,10,250,#N/A,#N/A,,,,INE778U01029,541700,INE778U01029,TCNSBRANDS
Equity,EQUITASSFB,20 Oct 2020 , 22 Oct 2020,"11,58,50,001",32.00-33.00,10,450,#N/A,#N/A,,,,INE792Z01011,543686,INE792Z01011,SIRCA
Equity,ANGELBRKG,22 Sep 2020 , 24 Sep 2020,"1,37,70,491",305.00-306.00,10,49,#N/A,#N/A,,,,INE506Z01015,541302,INE506Z01015,DHRUV
Equity,SBICARDS,02 Mar 2020 , 05 Mar 2020,"10,02,79,411",750.00-755.00,10,19,#N/A,#N/A,,,,INE099Z01011,541195,INE099Z01011,MIDHANI
Equity,ITCTC,30 Sep 2019 , 03 Oct 2019,"2,01,60,000",315.00-320.00,10,40,#N/A,#N/A,,,,INE278R01034,541161,INE278R01034,KBCGLOBAL
Equity,TPIL,30 Sep 2019 , 03 Oct 2019,"31,40,000",60.00-64.00,10,2000,#N/A,#N/A,,,,INE980Y01015,543986,INE980Y01015,SOUTHWEST
Equity,SWSL,06 Aug 2019 , 08 Aug 2019,"2,21,77,418",775.00-780.00,1,1,#N/A,#N/A,,,,INE600K01018,540935,INE600K01018,GALAXYSURF
Equity,KPRAGRO,26 Jun 2019 , 26 Jun 2019,"4,64,26,229",59.00-61.00,10,200,#N/A,#N/A,,,,INE977Y01011,543442,INE977Y01011,BCONCEPTS
Equity,MSTC,13 Mar 2019 , 20 Mar 2019,"1,76,70,400",120.00-128.00,10,90,#N/A,#N/A,,,,,,,
Equity,DEPL,28 Sep 2018 , 03 Oct 2018,"1,00,00,000",183.00-185.00,10,80,#N/A,#N/A,,,,,,,
Equity,TCNS,18 Jul 2018 , 20 Jul 2018,"1,09,99,828",714.00-716.00,2,20,#N/A,#N/A,,,,,,,
Equity,MISHRA,21 Mar 2018 , 23 Mar 2018,"4,87,08,400",87.00-90.00,10,150,#N/A,#N/A,,,,,,,
Equity,BBPL,20 Mar 2018 , 22 Mar 2018,"53,16,000",60.00-63.00,10,2000,#N/A,#N/A,,,,,,,
Equity,KARDA,16 Mar 2018 , 21 Mar 2018,"43,00,000",175.00-180.00,10,80,#N/A,#N/A,,,,,,,
Equity,GSL,29 Jan 2018 , 31 Jan 2018,"44,32,174",1470.00-1480.00,10,10,#N/A,#N/A,,,,,,,
Equity,RNAM,25 Oct 2017 , 27 Oct 2017,"4,28,40,000",247.00-252.00,10,59,#N/A,#N/A,,,,,,,
Equity,CDSL,19 Jun 2017 , 21 Jun 2017,"2,48,27,046",145.00-149.00,10,100,#N/A,#N/A,,,,,,,
Equity,MTIL,15 Mar 2017 , 20 Mar 2017,"38,04,000",27.00-30.00,10,4000,#N/A,#N/A,,,,,,,
Equity,BSE,23 Jan 2017 , 25 Jan 2017,"1,07,99,039",805.00-806.00,2,18,#N/A,#N/A,,,,,,,
Equity,MRSSL,28 Nov 2016 , 05 Dec 2016,"9,43,200",106.00-114.00,10,1200,#N/A,#N/A,,,,,,,
Equity,GSBPL,09 Nov 2016 , 22 Nov 2016,"1,45,79,560",68.00-76.00,10,175,#N/A,#N/A,,,,,,,
Equity,PNBHF,25 Oct 2016 , 27 Oct 2016,"2,80,77,500",750.00-775.00,10,19,#N/A,#N/A,,,,,,,
Equity,ADVENZYMES ,20 Jul 2016 , 22 Jul 2016,"32,34,059",880.00-896.00,10,16,#N/A,#N/A,,,,,,,
Equity,LTI,11 Jul 2016 , 13 Jul 2016,"1,22,50,000",705.00-710.00,1,20,#N/A,#N/A,,,,,,,
Equity,PARAG,04 May 2016 , 11 May 2016,"1,95,06,590",215.00-227.00,10,65,#N/A,#N/A,,,,,,,
Equity,BWRL,18 Mar 2016 , 22 Mar 2016,"1,75,00,000",40.00-45.00,10,300,#N/A,#N/A,,,,,,,
Equity,QH,08 Feb 2016 , 10 Feb 2016,"1,01,37,557",311.00-321.00,10,45,#N/A,#N/A,,,,,,,
Equity,PCAL,27 Jan 2016 , 29 Jan 2016,"1,58,67,366",180.00-186.00,10,80,#N/A,#N/A,,,,,,,
Equity,DRLAL,08 Dec 2015 , 10 Dec 2015,"81,20,000",540.00-550.00,10,20,#N/A,#N/A,,,,,,,
Equity,KELKAR,28 Oct 2015 , 30 Oct 2015,"2,02,34,342",173.00-180.00,10,80,#N/A,#N/A,,,,,,,
Equity,CCD,14 Oct 2015 , 16 Oct 2015,"2,58,14,198",316.00-328.00,10,45,#N/A,#N/A,,,,,,,
Equity,SPCFL,25 Aug 2015 , 27 Aug 2015,"1,14,75,410",61.00-65.00,10,200,#N/A,#N/A,,,,,,,
Equity,NCLIPO,24 Aug 2015 , 26 Aug 2015,"2,85,71,429",147.00-155.00,10,95,#N/A,#N/A,,,,,,,
Equity,PMPL,07 Aug 2015 , 11 Aug 2015,"29,88,300",615.00-640.00,10,20,#N/A,#N/A,,,,,,,
Equity,MANPASA,24 Jun 2015 , 26 Jun 2015,"75,86,207",290.00-320.00,10,45,#N/A,#N/A,,,,,,,
Equity,PNCINF,08 May 2015 , 12 May 2015,"90,60,197",355.00-378.00,10,35,#N/A,#N/A,,,,,,,
Equity,MEPIDL,21 Apr 2015 , 23 Apr 2015,"4,02,89,225",63.00-65.00,10,225,#N/A,#N/A,,,,,,,
Equity,IWLIPO,18 Mar 2015 , 20 Mar 2015,"2,32,01,121",315.00-325.00,10,45,#N/A,#N/A,,,,,,,
Equity,AELTD,10 Mar 2015 , 17 Mar 2015,"1,76,04,092",180.00-215.00,10,65,#N/A,#N/A,,,,,,,
Equity,AIK,26 Dec 2023 , 28 Dec 2023,NA,,10,1600,#N/A,#N/A,,,,,,,
Equity,DLVL,17 Mar 2023 , 21 Mar 2023,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,PROSPECT,08 Mar 2023 , 13 Mar 2023,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,SVJ ,23 Feb 2023 , 28 Feb 2023,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,MAAGHAD,26 Sep 2022 , 04 Oct 2022,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,VASSET,30 Sep 2022 , 04 Oct 2022,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,STLM,26 Sep 2022 , 29 Sep 2022,NA,,10,1200,#N/A,#N/A,,,,,,,
Equity,SISLD,06 Sep 2022 , 09 Sep 2022,NA,,10,1600,#N/A,#N/A,,,,,,,
Equity,INFURNIA,04 Sep 2022 , 04 Sep 2022,NA,,1,10000,#N/A,#N/A,,,,,,,
Equity,DIPL,25 Aug 2022 , 30 Aug 2022,NA,,10,3000,#N/A,#N/A,,,,,,,
Equity,RHETANTMT,22 Aug 2022 , 25 Aug 2022,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,HEALTHLIFE,13 Jul 2022 , 18 Jul 2022,NA,,10,10000,#N/A,#N/A,,,,,,,
Equity,BRIGHTES,30 Jun 2022 , 05 Jul 2022,NA,,10,800,#N/A,#N/A,,,,,,,
Equity,MARUTIIPL,03 Feb 2022 , 08 Feb 2022,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,DJMPL,18 Jan 2022 , 20 Jan 2022,NA,,10,1000,#N/A,#N/A,,,,,,,
Equity,ASCENSIVE,30 Dec 2021 , 04 Jan 2022,NA,,10,4000,#N/A,#N/A,,,,,,,
Equity,BRNDBUCKET,20 Dec 2021 , 23 Dec 2021,NA,,10,2000,#N/A,#N/A,,,,,,,
Equity,WITS,16 Dec 2021 , 21 Dec 2021,NA,,10,800,#N/A,#N/A,,,,,,,
Equity,CWD,30 Sep 2021 , 05 Oct 2021,NA,,10,800,#N/A,#N/A,,,,,,,
Equity,MTCL,15 Sep 2021 , 20 Sep 2021,NA,,10,1600,#N/A,#N/A,,,,,,,
Equity,KGES,20 Apr 2021 , 27 Apr 2021,NA,,10,6000,#N/A,#N/A,,,,,,,
Equity,RTL,09 Mar 2021 , 12 Mar 2021,NA,,10,600,#N/A,#N/A,,,,,,,
Equity,ADJIA,02 Mar 2021 , 04 Mar 2021,NA,,10,1600,#N/A,#N/A,,,,,,,
