,Security Type,Symbol,Issue Period,Face Value,Market Lot
0,Equity,GPSL,31 Jan 2024 to 02 Feb 2024,10.00,1200
1,Equity,MCFL,29 Jan 2024 to 31 Jan 2024,10.00,1200
2,Equity,BRISK,23 Jan 2024 to 25 Jan 2024,10.00,800
3,Equity,QLL,18 Jan 2024 to 23 Jan 2024,10.00,1200
4,Equity,SHREE,12 Jan 2024 to 16 Jan 2024,10.00,1000
5,Equity,MCL,27 Dec 2023 to 29 Dec 2023,10.00,2000
6,Equity,AIK,26 Dec 2023 to 28 Dec 2023,10.00,1600
7,Equity,SMARITIME,18 Dec 2023 to 20 Dec 2023,10.00,1600
8,Equity,BENCHMARK,14 Dec 2023 to 18 Dec 2023,10.00,2000
9,Equity,ARROWHEAD,16 Nov 2023 to 20 Nov 2023,10.00,600
10,Equity,MISHDESIGN,31 Oct 2023 to 02 Nov 2023,10.00,1000
11,Equity,VPL,30 Oct 2023 to 01 Nov 2023,10.00,1200
12,Equity,KKSHL,27 Oct 2023 to 31 Oct 2023,10.00,3000
13,Equity,VIVAA,27 Sep 2023 to 04 Oct 2023,10.00,2000
14,Equity,SUNITATOOL,26 Sep 2023 to 03 Oct 2023,10.00,1000
15,Equity,CCAL,26 Sep 2023 to 29 Sep 2023,10.00,6000
16,Equity,ORGANICREC,21 Sep 2023 to 26 Sep 2023,10.00,600
17,Equity,TECHKGREEN,18 Sep 2023 to 21 Sep 2023,10.00,1600
18,Equity,MESON,08 Sep 2023 to 12 Sep 2023,10.00,1200
19,Equity,KAHAN,06 Sep 2023 to 08 Sep 2023,10.00,1600
20,Equity,BONDADA,18 Aug 2023 to 22 Aug 2023,10.00,1600
21,Equity,SDL,17 Aug 2023 to 21 Aug 2023,10.00,3000
22,Equity,SHELTER,10 Aug 2023 to 14 Aug 2023,10.00,3000
23,Equity,KHAZANCHI,24 Jul 2023 to 28 Jul 2023,10.00,1000
24,Equity,INNOVATUS,25 Jul 2023 to 27 Jul 2023,10.00,3000
25,Equity,ATL,10 Jul 2023 to 13 Jul 2023,10.00,800
26,Equity,ACCELERATE,06 Jul 2023 to 11 Jul 2023,10.00,1600
